,total_rooms_tVar,median_house_value_tVar,values
1227,792,1657,1.0
1228,793,680,1.0
1229,794,681,1.0
1230,794,796,0.3333333333333333
1231,795,139,0.08333333333333333
1232,795,682,1.0
1233,796,375,0.5
1234,796,683,0.5
1235,797,684,1.0
1236,798,41,0.008
1237,799,594,0.07692307692307693
1238,800,685,1.0
1239,801,686,1.0
1240,802,687,0.5
1241,803,212,0.07692307692307693
1242,804,515,0.3333333333333333
1243,804,689,1.0
1244,804,769,1.0
1245,805,690,0.5
1246,806,640,0.25
1247,806,1422,1.0
1248,807,41,0.008
1249,808,691,1.0
1250,809,393,0.5
1251,809,885,0.3333333333333333
1252,809,1531,1.0
1253,810,621,0.25
1254,811,41,0.008
1255,811,693,1.0
1256,812,41,0.008
1257,813,694,1.0
1258,814,169,0.3333333333333333
1259,814,817,1.0
1260,814,1162,0.5
1261,815,419,0.5
1262,816,41,0.008
1263,816,695,1.0
1264,817,126,0.3333333333333333
1265,818,696,1.0
1266,819,27,0.07142857142857142
1267,819,212,0.07692307692307693
1268,820,181,0.3333333333333333
1269,821,41,0.008
1270,821,177,0.5
1271,822,697,1.0
1272,823,699,1.0
1273,824,39,0.3333333333333333
1274,824,700,1.0
1275,825,193,0.058823529411764705
1276,826,701,1.0
1277,827,702,0.5
1278,828,703,1.0
1279,828,1426,1.0
1280,828,1636,1.0
1281,829,704,0.3333333333333333
1282,830,705,1.0
1283,831,706,1.0
1284,832,707,1.0
1285,833,708,0.25
1286,833,776,0.3333333333333333
1287,833,1305,1.0
1288,834,197,0.2
1289,835,134,0.1111111111111111
1290,835,839,0.5
1291,836,509,0.3333333333333333
1292,836,1396,1.0
1293,837,709,1.0
1294,838,710,1.0
1295,838,726,0.5
1296,839,711,0.5
1297,840,714,0.5
1298,841,715,1.0
1299,842,232,0.25
1300,842,476,0.25
1301,842,716,1.0
1302,842,1101,0.5
1303,843,240,0.5
1304,843,1370,1.0
1305,844,717,0.5
1306,845,718,1.0
1307,846,560,0.5
1308,846,1107,0.5
1309,847,302,0.5
1310,847,719,1.0
1311,848,720,1.0
1312,849,721,1.0
1313,850,722,0.5
1314,850,958,1.0
1315,851,297,0.5
1316,852,340,0.047619047619047616
1317,853,16,0.043478260869565216
1318,854,723,1.0
1319,854,860,0.5
1320,854,1104,0.3333333333333333
1321,854,1481,1.0
1322,855,724,1.0
1323,856,725,0.2
1324,857,727,0.5
1325,857,736,1.0
1326,858,728,1.0
1327,858,1215,1.0
1328,859,731,0.5
1329,860,41,0.008
1330,861,708,0.25
1331,861,732,0.5
1332,862,733,1.0
1333,863,143,0.2
1334,863,501,0.2
1335,864,735,0.5
1336,865,738,1.0
1337,866,558,0.25
1338,866,739,0.5
1339,867,212,0.07692307692307693
1340,867,740,1.0
1341,868,742,0.25
1342,869,743,1.0
1343,869,767,0.5
1344,870,162,0.5
1345,870,591,0.3333333333333333
1346,870,837,0.3333333333333333
1347,870,1365,1.0
1348,871,530,0.3333333333333333
1349,872,745,1.0
1350,873,41,0.008
1351,873,638,0.5
1352,873,1658,1.0
1353,874,722,0.5
1354,875,747,1.0
1355,876,748,0.5
1356,876,815,1.0
1357,877,535,0.09090909090909091
1358,878,749,0.5
1359,879,750,0.5
1360,879,1182,1.0
1361,880,751,1.0
1362,881,752,1.0
1363,881,1005,0.5
1364,881,1355,1.0
1365,881,1532,0.5
1366,881,1769,1.0
1367,882,139,0.08333333333333333
1368,882,753,1.0
1369,883,754,1.0
1370,884,755,1.0
1371,885,40,0.09090909090909091
1372,885,511,0.2
1373,886,389,0.3333333333333333
1374,886,756,1.0
1375,887,757,1.0
1376,887,1542,0.5
1377,888,758,1.0
1378,889,54,0.5
1379,889,477,0.3333333333333333
1380,890,759,1.0
1381,891,760,0.5
1382,892,761,0.5
1383,893,762,1.0
1384,894,224,0.3333333333333333
1385,894,763,0.5
1386,895,764,0.5
1387,896,765,0.5
1388,896,1256,1.0
1389,897,41,0.008
1390,898,768,1.0
1391,899,202,0.25
1392,900,770,0.5
1393,900,1610,0.5
1394,901,639,0.25
1395,901,764,0.5
1396,902,771,0.5
1397,903,773,0.5
1398,904,774,1.0
1399,905,775,1.0
1400,906,41,0.008
1401,907,777,1.0
1402,908,778,0.3333333333333333
1403,909,41,0.008
1404,910,779,1.0
1405,911,780,1.0
1406,912,423,0.16666666666666666
1407,913,781,0.5
1408,914,782,1.0
1409,915,783,1.0
1410,916,784,1.0
1411,917,785,1.0
1412,918,787,1.0
1413,919,788,1.0
1414,920,51,0.2
1415,920,57,0.3333333333333333
1416,920,789,1.0
1417,921,251,0.5
1418,922,438,0.3333333333333333
1419,923,790,1.0
1420,924,12,0.5
1421,925,791,1.0
1422,926,161,0.25
1423,927,595,0.3333333333333333
1424,928,551,0.2
1425,928,792,1.0
1426,928,1043,1.0
1427,929,793,1.0
1428,930,794,1.0
1429,931,252,0.3333333333333333
1430,932,797,0.3333333333333333
1431,933,798,0.3333333333333333
1432,934,224,0.3333333333333333
1433,934,898,0.5
1434,935,799,0.3333333333333333
1435,936,801,1.0
1436,937,802,1.0
1437,938,725,0.2
1438,939,803,0.5
1439,940,805,0.5
1440,941,807,0.3333333333333333
1441,941,1055,1.0
1442,942,808,0.5
1443,942,835,0.14285714285714285
1444,943,501,0.2
1445,944,810,1.0
1446,945,811,1.0
1447,946,714,0.5
1448,947,812,0.5
1449,947,1585,1.0
1450,948,679,0.5
1451,949,453,0.3333333333333333
1452,950,27,0.07142857142857142
1453,951,41,0.008
1454,952,443,0.5
1455,952,1486,1.0
1456,953,813,1.0
1457,953,960,1.0
1458,954,814,1.0
1459,955,725,0.2
1460,956,816,1.0
1461,957,439,0.5
1462,957,523,0.2
1463,957,1088,1.0
1464,958,818,1.0
1465,959,324,0.25
1466,960,431,0.3333333333333333
1467,960,1716,0.5
1468,961,819,0.5
1469,961,1229,1.0
1470,962,423,0.16666666666666666
1471,963,820,1.0
1472,964,133,0.5
1473,964,821,0.25
1474,965,822,0.5
1475,966,823,1.0
1476,967,824,1.0
1477,968,825,1.0
1478,969,826,0.3333333333333333
1479,970,827,1.0
1480,971,340,0.047619047619047616
1481,972,561,0.5
1482,973,828,0.25
1483,974,528,0.25
1484,975,331,0.3333333333333333
1485,976,212,0.07692307692307693
1486,976,669,0.5
1487,976,1121,1.0
1488,977,340,0.047619047619047616
1489,978,829,1.0
1490,979,222,0.25
1491,980,41,0.008
1492,980,538,0.5
1493,981,830,1.0
1494,982,831,1.0
1495,982,1641,1.0
1496,983,594,0.07692307692307693
1497,984,832,0.5
1498,984,971,0.5
1499,985,290,0.3333333333333333
1500,985,834,0.5
1501,986,169,0.3333333333333333
1502,987,535,0.09090909090909091
1503,988,835,0.14285714285714285
1504,989,836,1.0
1505,990,497,0.2
1506,991,41,0.008
1507,992,295,0.3333333333333333
1508,992,430,0.5
1509,993,838,0.5
1510,993,1677,1.0
1511,994,48,0.16666666666666666
1512,994,980,1.0
1513,995,93,0.125
1514,995,339,0.5
1515,996,35,0.3333333333333333
1516,996,1434,0.5
1517,997,840,1.0
1518,998,841,1.0
1519,999,843,1.0
1520,1000,343,0.5
1521,1000,844,1.0
1522,1000,1353,0.5
1523,1001,41,0.008
1524,1001,845,0.5
1525,1002,197,0.2
1526,1003,626,0.3333333333333333
1527,1003,1385,0.5
1528,1004,826,0.3333333333333333
1529,1004,848,1.0
1530,1004,1629,1.0
1531,1004,1743,1.0
1532,1005,849,1.0
1533,1006,850,1.0
1534,1007,41,0.008
1535,1007,851,1.0
1536,1008,88,0.5
1537,1008,896,0.5
1538,1008,1519,1.0
1539,1009,340,0.047619047619047616
1540,1010,809,0.25
1541,1011,852,1.0
1542,1012,853,1.0
1543,1012,1272,0.5
1544,1013,477,0.3333333333333333
1545,1014,854,1.0
1546,1015,855,1.0
1547,1016,856,0.5
1548,1017,41,0.008
1549,1018,671,0.3333333333333333
1550,1018,857,0.5
1551,1018,1285,1.0
1552,1019,462,0.3333333333333333
1553,1020,859,1.0
1554,1020,1253,1.0
1555,1020,1517,1.0
1556,1021,861,1.0
1557,1022,863,0.3333333333333333
1558,1022,907,0.5
1559,1023,546,0.5
1560,1023,864,1.0
1561,1023,1201,0.3333333333333333
1562,1023,1746,1.0
1563,1024,865,1.0
1564,1025,866,0.3333333333333333
1565,1026,174,0.2
1566,1026,213,0.5
1567,1027,583,0.3333333333333333
1568,1028,179,0.25
1569,1029,867,0.5
1570,1030,221,0.5
1571,1031,412,0.3333333333333333
1572,1031,868,1.0
1573,1031,1737,1.0
1574,1032,809,0.25
1575,1033,872,1.0
1576,1034,873,1.0
1577,1035,874,1.0
1578,1036,877,1.0
1579,1036,1169,1.0
1580,1037,199,0.16666666666666666
1581,1038,878,0.5
1582,1039,879,0.5
1583,1040,880,0.5
1584,1041,193,0.058823529411764705
1585,1041,881,0.5
1586,1041,1153,1.0
1587,1042,882,1.0
1588,1043,883,1.0
1589,1044,884,0.3333333333333333
1590,1045,528,0.25
1591,1045,885,0.3333333333333333
1592,1046,41,0.008
1593,1046,482,0.5
1594,1046,1719,1.0
1595,1047,887,1.0
1596,1048,888,1.0
1597,1049,167,0.3333333333333333
1598,1050,889,0.5
1599,1051,890,1.0
1600,1052,891,1.0
1601,1053,892,1.0
1602,1054,893,1.0
1603,1055,894,1.0
1604,1056,305,0.5
1605,1057,897,0.5
1606,1058,899,1.0
1607,1059,900,1.0
1608,1059,912,1.0
1609,1060,41,0.008
1610,1060,463,0.5
1611,1060,961,0.5
1612,1061,903,1.0
1613,1062,16,0.043478260869565216
1614,1063,160,0.3333333333333333
1615,1063,316,0.25
1616,1064,905,0.5
1617,1065,313,0.5
1618,1066,906,1.0
1619,1067,249,0.125
1620,1068,193,0.058823529411764705
1621,1069,431,0.3333333333333333
1622,1069,907,0.5
1623,1070,654,0.3333333333333333
1624,1071,908,1.0
1625,1072,909,0.5
1626,1072,986,0.5
1627,1073,910,1.0
1628,1074,911,1.0
1629,1075,146,0.3333333333333333
1630,1076,65,0.5
1631,1077,913,1.0
1632,1078,914,0.2
1633,1079,533,0.5
1634,1080,199,0.16666666666666666
1635,1081,916,1.0
1636,1082,917,1.0
1637,1083,918,1.0
1638,1084,919,1.0
1639,1085,304,0.125
1640,1085,1122,0.5
1641,1086,920,0.3333333333333333
1642,1087,16,0.043478260869565216
1643,1087,570,0.16666666666666666
1644,1088,98,0.5
1645,1088,922,0.5
1646,1088,1155,0.5
1647,1089,316,0.25
1648,1090,90,0.14285714285714285
1649,1091,525,0.5
1650,1092,923,1.0
1651,1093,513,0.25
1652,1094,432,0.3333333333333333
1653,1094,924,1.0
1654,1095,497,0.2
1655,1096,485,0.5
1656,1097,732,0.5
1657,1097,925,0.3333333333333333
1658,1097,1220,0.5
1659,1098,143,0.2
1660,1098,857,0.5
1661,1098,915,0.09090909090909091
1662,1099,927,0.5
1663,1099,1402,1.0
1664,1100,41,0.008
1665,1101,676,0.5
1666,1102,929,1.0
1667,1103,930,1.0
1668,1104,931,1.0
1669,1105,134,0.1111111111111111
1670,1105,582,0.25
1671,1105,932,0.5
1672,1106,296,0.5
1673,1107,255,0.5
1674,1108,55,0.5
1675,1108,535,0.09090909090909091
1676,1109,934,1.0
1677,1110,935,0.25
1678,1110,1071,1.0
1679,1111,936,1.0
1680,1111,1013,1.0
1681,1112,937,0.5
1682,1113,41,0.008
1683,1114,461,0.5
1684,1114,940,1.0
1685,1115,27,0.07142857142857142
1686,1116,247,0.5
1687,1116,1289,0.5
1688,1117,942,1.0
1689,1118,727,0.5
1690,1118,1542,0.5
1691,1119,39,0.3333333333333333
1692,1120,363,0.5
1693,1121,943,1.0
1694,1121,1062,0.16666666666666666
1695,1122,944,1.0
1696,1122,1341,1.0
1697,1123,945,1.0
1698,1124,187,0.3333333333333333
1699,1125,947,0.5
1700,1125,1666,1.0
1701,1126,660,0.5
1702,1127,147,0.3333333333333333
1703,1128,535,0.09090909090909091
1704,1128,948,1.0
1705,1129,949,1.0
1706,1130,950,1.0
1707,1130,1518,1.0
1708,1130,1640,1.0
1709,1131,951,1.0
1710,1132,952,1.0
1711,1133,28,0.3333333333333333
1712,1133,955,1.0
1713,1134,237,0.5
1714,1134,957,1.0
1715,1135,170,0.3333333333333333
1716,1136,797,0.3333333333333333
1717,1137,959,1.0
1718,1138,963,0.5
1719,1139,964,1.0
1720,1140,663,0.5
1721,1140,965,0.5
1722,1141,966,0.5
1723,1141,1485,1.0
1724,1142,967,0.5
1725,1143,968,1.0
1726,1144,621,0.25
1727,1145,551,0.2
1728,1145,969,0.3333333333333333
1729,1145,1186,1.0
1730,1146,807,0.3333333333333333
1731,1147,40,0.09090909090909091
1732,1148,91,0.5
1733,1148,970,0.3333333333333333
1734,1149,971,0.5
1735,1149,1589,1.0
1736,1150,973,1.0
1737,1151,41,0.008
1738,1152,316,0.25
1739,1153,974,0.3333333333333333
1740,1154,975,1.0
1741,1155,41,0.008
1742,1156,976,1.0
1743,1156,1063,1.0
1744,1157,977,1.0
1745,1158,978,1.0
1746,1159,175,0.3333333333333333
1747,1160,41,0.008
1748,1160,1129,0.3333333333333333
1749,1161,880,0.5
1750,1162,429,0.5
1751,1162,982,1.0
1752,1163,983,1.0
1753,1164,970,0.3333333333333333
1754,1164,984,1.0
1755,1165,985,0.3333333333333333
1756,1166,144,0.3333333333333333
1757,1167,987,1.0
1758,1167,1192,0.5
1759,1167,1765,1.0
1760,1168,193,0.058823529411764705
1761,1168,1715,1.0
1762,1169,988,1.0
1763,1170,989,1.0
1764,1170,1038,1.0
1765,1171,990,1.0
1766,1172,249,0.125
1767,1172,991,0.25
1768,1173,991,0.25
1769,1174,992,0.5
1770,1175,713,0.5
1771,1176,993,1.0
1772,1177,994,1.0
1773,1177,1015,0.3333333333333333
1774,1177,1091,1.0
1775,1178,995,1.0
1776,1179,996,1.0
1777,1179,1463,1.0
1778,1179,1755,1.0
1779,1180,915,0.09090909090909091
1780,1181,828,0.25
1781,1182,41,0.008
1782,1183,997,1.0
1783,1184,998,0.2
1784,1184,1034,0.3333333333333333
1785,1185,476,0.25
1786,1185,999,1.0
1787,1186,1000,0.5
1788,1187,1001,1.0
1789,1188,252,0.3333333333333333
1790,1188,1002,1.0
1791,1189,1003,0.3333333333333333
1792,1190,1004,1.0
1793,1191,1006,0.5
1794,1192,1007,1.0
1795,1193,149,0.5
1796,1194,1008,1.0
1797,1194,1446,0.3333333333333333
1798,1195,90,0.14285714285714285
1799,1195,248,0.3333333333333333
1800,1195,330,0.3333333333333333
1801,1195,1472,0.5
1802,1196,1009,1.0
1803,1197,16,0.043478260869565216
1804,1198,340,0.047619047619047616
1805,1198,1010,1.0
1806,1199,1011,1.0
1807,1199,1565,1.0
1808,1200,1012,0.5
1809,1201,1014,1.0
1810,1202,1016,1.0
1811,1203,1017,1.0
1812,1204,41,0.008
1813,1205,432,0.3333333333333333
1814,1205,969,0.3333333333333333
1815,1206,1019,1.0
1816,1207,1020,1.0
1817,1208,641,0.5
1818,1208,1021,1.0
1819,1209,1024,0.5
1820,1210,1025,1.0
1821,1211,85,0.25
1822,1212,608,0.3333333333333333
1823,1212,1026,1.0
1824,1213,1027,1.0
1825,1214,396,0.5
1826,1215,52,0.07692307692307693
1827,1216,1030,1.0
1828,1217,1031,0.5
1829,1218,1032,1.0
1830,1218,1132,1.0
1831,1219,1033,1.0
1832,1220,1035,1.0
1833,1221,1036,1.0
1834,1221,1521,1.0
1835,1222,1037,0.5
1836,1223,1023,0.5
1837,1224,295,0.3333333333333333
1838,1225,205,0.25
1839,1226,115,0.2
1840,1227,45,0.25
1841,1227,90,0.14285714285714285
1842,1228,1041,1.0
1843,1229,1042,1.0
1844,1230,340,0.047619047619047616
1845,1230,410,0.5
1846,1231,914,0.2
1847,1232,1044,1.0
1848,1233,1045,1.0
1849,1234,1046,0.5
1850,1235,1048,1.0
1851,1236,85,0.25
1852,1237,1049,0.5
1853,1237,1710,1.0
1854,1238,17,0.5
1855,1239,559,0.5
1856,1239,627,0.5
1857,1240,1050,0.5
1858,1241,1051,1.0
1859,1242,83,0.5
1860,1242,1052,0.5
1861,1243,583,0.3333333333333333
1862,1243,1053,0.5
1863,1244,340,0.047619047619047616
1864,1245,1054,1.0
1865,1246,290,0.3333333333333333
1866,1247,1056,1.0
1867,1247,1498,1.0
1868,1248,1057,1.0
1869,1249,126,0.3333333333333333
1870,1249,1058,1.0
1871,1250,914,0.2
1872,1251,340,0.047619047619047616
1873,1252,1059,1.0
1874,1253,340,0.047619047619047616
1875,1253,1184,0.5
1876,1254,746,0.25
1877,1255,340,0.09523809523809523
1878,1256,16,0.043478260869565216
1879,1256,310,0.5
1880,1257,1061,0.5
1881,1258,93,0.125
1882,1259,1064,1.0
1883,1260,1065,0.3333333333333333
1884,1261,276,0.2
1885,1262,1066,0.2
1886,1263,1068,1.0
1887,1264,48,0.16666666666666666
1888,1264,1069,1.0
1889,1264,1466,0.5
1890,1264,1506,1.0
1891,1265,633,0.5
1892,1265,1729,1.0
1893,1266,497,0.2
1894,1266,1466,0.5
1895,1267,161,0.25
1896,1267,462,0.3333333333333333
1897,1268,1070,0.5
1898,1269,41,0.008
1899,1270,1072,1.0
1900,1271,1073,0.5
1901,1271,1302,1.0
1902,1272,1074,1.0
1903,1273,1075,0.5
1904,1273,1257,0.5
1905,1274,746,0.25
1906,1275,51,0.2
1907,1275,1549,1.0
1908,1276,1076,1.0
1909,1277,520,0.5
1910,1278,1077,0.3333333333333333
1911,1278,1557,0.5
1912,1279,969,0.3333333333333333
1913,1279,1478,1.0
1914,1280,1078,0.5
1915,1280,1601,1.0
1916,1281,1079,1.0
1917,1282,108,0.25
1918,1283,1080,1.0
1919,1284,95,0.5
1920,1284,1081,1.0
1921,1285,1082,1.0
1922,1286,760,0.5
1923,1286,1633,1.0
1924,1287,276,0.2
1925,1287,1083,1.0
1926,1287,1104,0.3333333333333333
1927,1288,371,0.5
1928,1288,1084,1.0
1929,1289,1085,1.0
1930,1290,1086,1.0
1931,1291,1087,1.0
1932,1291,1345,0.5
1933,1292,773,0.5
1934,1293,96,0.2
1935,1294,1089,1.0
1936,1295,828,0.25
1937,1295,1090,1.0
1938,1296,407,0.25
1939,1297,41,0.008
1940,1298,1092,1.0
1941,1299,1093,1.0
1942,1300,711,0.5
1943,1300,1094,1.0
1944,1301,376,0.5
1945,1302,1096,0.5
1946,1303,1097,1.0
1947,1303,1434,0.5
1948,1304,1098,1.0
1949,1305,1099,0.3333333333333333
1950,1306,1100,1.0
1951,1307,161,0.25
1952,1307,1101,0.5
1953,1307,1362,1.0
1954,1308,315,0.5
1955,1309,1065,0.3333333333333333
1956,1309,1102,1.0
1957,1310,884,0.3333333333333333
1958,1311,1103,1.0
1959,1312,144,0.3333333333333333
1960,1313,16,0.043478260869565216
1961,1314,1105,0.5
1962,1315,1106,1.0
1963,1316,52,0.07692307692307693
1964,1316,129,0.5
1965,1317,278,0.5
1966,1317,1108,1.0
1967,1318,1109,0.5
1968,1318,1453,1.0
1969,1319,249,0.125
1970,1320,1110,1.0
1971,1321,197,0.2
1972,1322,174,0.2
1973,1323,1111,1.0
1974,1323,1451,1.0
1975,1324,1112,1.0
1976,1325,1113,1.0
1977,1326,77,0.3333333333333333
1978,1327,41,0.008
1979,1327,1114,1.0
1980,1328,93,0.125
1981,1329,1015,0.3333333333333333
1982,1330,1116,1.0
1983,1331,1117,0.5
1984,1332,1118,1.0
1985,1333,687,0.5
1986,1333,1158,0.5
1987,1334,199,0.16666666666666666
1988,1335,1120,0.25
1989,1336,41,0.008
1990,1336,885,0.3333333333333333
1991,1337,321,0.5
1992,1338,1122,0.5
1993,1339,41,0.008
1994,1340,1123,1.0
1995,1341,41,0.008
1996,1342,1124,1.0
1997,1343,570,0.16666666666666666
1998,1343,1639,1.0
1999,1344,1125,1.0
2000,1345,111,0.5
2001,1346,765,0.5
2002,1347,1126,1.0
2003,1347,1298,0.3333333333333333
2004,1347,1322,0.5
2005,1348,1127,1.0
2006,1349,468,0.3333333333333333
2007,1350,1128,1.0
2008,1350,1680,1.0
2009,1351,1066,0.2
2010,1352,440,0.3333333333333333
2011,1353,1130,1.0
2012,1353,1731,1.0
2013,1354,1131,1.0
2014,1354,1350,0.2
2015,1354,1622,1.0
2016,1355,260,0.5
2017,1355,1350,0.2
2018,1356,1133,1.0
2019,1357,640,0.25
2020,1357,1134,1.0
2021,1357,1431,1.0
2022,1358,108,0.25
2023,1359,1136,1.0
2024,1360,863,0.3333333333333333
2025,1361,1137,1.0
2026,1362,1138,0.5
2027,1363,835,0.14285714285714285
2028,1364,673,0.3333333333333333
2029,1364,1139,1.0
2030,1365,1140,1.0
2031,1366,1141,1.0
2032,1367,1142,1.0
2033,1368,1067,0.5
2034,1369,1143,1.0
2035,1370,567,0.5
2036,1370,1429,1.0
2037,1371,1144,0.5
2038,1372,1145,1.0
2039,1373,1146,1.0
2040,1374,1147,1.0
2041,1375,79,0.3333333333333333
2042,1375,309,0.3333333333333333
2043,1375,1416,0.5
2044,1376,1149,1.0
2045,1377,41,0.008
2046,1378,1150,1.0
2047,1378,1504,0.5
2048,1379,1151,1.0
2049,1380,100,0.3333333333333333
2050,1380,1443,1.0
2051,1381,16,0.043478260869565216
2052,1382,1152,0.5
2053,1383,597,0.5
2054,1384,1155,0.5
2055,1385,1156,1.0
2056,1386,725,0.2
2057,1387,1157,1.0
2058,1387,1535,1.0
2059,1388,799,0.3333333333333333
2060,1389,1158,0.5
2061,1390,1159,1.0
2062,1391,46,0.3333333333333333
2063,1392,41,0.008
2064,1393,1160,1.0
2065,1394,243,0.5
2066,1395,1162,0.5
2067,1396,1163,1.0
2068,1397,1164,1.0
2069,1398,1165,1.0
2070,1399,1034,0.3333333333333333
2071,1400,47,0.3333333333333333
2072,1400,1313,0.5
2073,1401,1168,1.0
2074,1402,1170,1.0
2075,1402,1297,1.0
2076,1403,1171,1.0
2077,1404,1003,0.3333333333333333
2078,1405,1172,1.0
2079,1405,1410,1.0
2080,1406,974,0.3333333333333333
2081,1407,346,0.3333333333333333
2082,1408,1174,1.0
2083,1409,1175,0.5
2084,1410,1075,0.5
2085,1411,708,0.25
2086,1411,1177,1.0
2087,1412,1178,1.0
2088,1413,926,0.5
2089,1414,125,0.5
2090,1415,1179,1.0
2091,1416,1180,1.0
2092,1417,1183,1.0
2093,1417,1706,1.0
2094,1418,878,0.5
2095,1419,1184,0.5
2096,1420,1185,0.3333333333333333
2097,1421,465,0.5
2098,1422,1187,0.5
2099,1423,160,0.3333333333333333
2100,1423,1120,0.25
2101,1424,1188,1.0
2102,1425,582,0.25
2103,1425,1216,0.5
2104,1426,1189,1.0
2105,1427,447,0.3333333333333333
2106,1427,643,0.5
2107,1427,1492,1.0
2108,1427,1660,1.0
2109,1428,440,0.3333333333333333
2110,1428,1190,1.0
2111,1428,1314,1.0
2112,1428,1772,1.0
2113,1429,937,0.5
2114,1430,1192,0.5
2115,1431,479,0.5
2116,1432,998,0.2
2117,1433,1193,1.0
2118,1433,1643,1.0
2119,1434,179,0.25
2120,1434,464,0.5
2121,1434,1152,0.5
2122,1435,1104,0.3333333333333333
2123,1436,1066,0.2
2124,1436,1195,0.5
2125,1437,249,0.125
2126,1438,392,0.5
2127,1439,1039,0.5
2128,1439,1196,1.0
2129,1439,1730,1.0
2130,1440,301,0.5
2131,1441,284,0.3333333333333333
2132,1442,867,0.5
2133,1443,304,0.125
2134,1443,1476,1.0
2135,1443,1752,1.0
2136,1444,1197,0.3333333333333333
2137,1445,1198,1.0
2138,1446,1199,1.0
2139,1447,1200,1.0
2140,1448,1202,1.0
2141,1449,1006,0.5
2142,1450,1204,1.0
2143,1451,621,0.25
2144,1452,193,0.058823529411764705
2145,1452,596,0.5
2146,1453,1205,1.0
2147,1454,922,0.5
2148,1455,1206,1.0
2149,1456,1207,1.0
2150,1457,58,0.5
2151,1457,1648,1.0
2152,1458,731,0.5
2153,1459,778,0.3333333333333333
2154,1460,1209,0.5
2155,1461,1210,0.5
2156,1462,250,0.3333333333333333
2157,1463,1213,1.0
2158,1463,1758,1.0
2159,1464,1185,0.3333333333333333
2160,1464,1217,1.0
2161,1465,1218,0.5
2162,1466,80,0.2
2163,1466,1220,0.5
2164,1467,1221,1.0
2165,1468,1222,0.3333333333333333
2166,1469,941,0.5
2167,1470,146,0.3333333333333333
2168,1471,331,0.3333333333333333
2169,1472,204,0.5
2170,1472,1062,0.16666666666666666
2171,1472,1270,0.5
2172,1473,423,0.16666666666666666
2173,1473,626,0.3333333333333333
2174,1474,1224,1.0
2175,1475,905,0.5
2176,1475,1265,1.0
2177,1476,1175,0.5
2178,1477,1226,1.0
2179,1478,122,0.3333333333333333
2180,1479,1227,1.0
2181,1480,886,0.25
2182,1481,179,0.25
2183,1482,41,0.008
2184,1483,1228,1.0
2185,1483,1570,1.0
2186,1484,1005,0.5
2187,1485,40,0.09090909090909091
2188,1486,1230,1.0
2189,1487,1231,1.0
2190,1488,1232,1.0
2191,1489,1233,1.0
2192,1490,134,0.1111111111111111
2193,1491,1235,1.0
2194,1492,1237,1.0
2195,1493,1238,1.0
2196,1494,52,0.07692307692307693
2197,1495,193,0.058823529411764705
2198,1496,41,0.008
2199,1497,1107,0.5
2200,1498,356,0.5
2201,1499,746,0.25
2202,1499,1243,1.0
2203,1500,1000,0.5
2204,1501,1239,1.0
2205,1502,985,0.3333333333333333
2206,1502,1244,1.0
2207,1503,362,0.25
2208,1503,1400,1.0
2209,1504,1246,0.5
2210,1505,1247,1.0
2211,1506,1248,1.0
2212,1507,139,0.08333333333333333
2213,1507,1560,1.0
2214,1508,400,0.3333333333333333
2215,1508,856,0.5
2216,1509,1062,0.16666666666666666
2217,1509,1401,1.0
2218,1510,750,0.5
2219,1511,1015,0.3333333333333333
2220,1512,16,0.043478260869565216
2221,1513,742,0.25
2222,1514,1250,0.5
2223,1515,262,0.3333333333333333
2224,1515,1252,1.0
2225,1516,1254,1.0
2226,1517,1255,1.0
2227,1518,1258,0.5
2228,1519,1053,0.5
2229,1519,1259,0.5
2230,1520,1261,1.0
2231,1521,991,0.25
2232,1522,1262,1.0
2233,1523,1263,0.3333333333333333
2234,1524,271,0.25
2235,1525,592,0.5
2236,1526,41,0.008
2237,1526,1266,1.0
2238,1527,1267,1.0
2239,1527,1273,1.0
2240,1528,1268,1.0
2241,1529,1269,0.5
2242,1530,153,0.3333333333333333
2243,1531,904,0.5
2244,1532,1274,1.0
2245,1533,1275,0.3333333333333333
2246,1533,1376,1.0
2247,1534,1276,1.0
2248,1534,1338,1.0
2249,1535,41,0.008
2250,1535,1277,1.0
2251,1536,1278,1.0
2252,1537,300,0.5
2253,1538,1280,1.0
2254,1538,1567,1.0
2255,1539,1282,1.0
2256,1540,1283,1.0
2257,1541,1212,0.3333333333333333
2258,1541,1682,1.0
2259,1542,1284,1.0
2260,1543,523,0.2
2261,1544,40,0.09090909090909091
2262,1545,1286,1.0
2263,1546,1289,0.5
2264,1547,175,0.3333333333333333
2265,1548,1290,1.0
2266,1549,961,0.5
2267,1550,41,0.008
2268,1550,650,0.5
2269,1551,1201,0.3333333333333333
2270,1552,635,0.5
2271,1552,1522,0.5
2272,1553,1292,1.0
2273,1554,1144,0.5
2274,1555,1293,0.5
2275,1556,1294,0.5
2276,1557,1295,1.0
2277,1558,1296,1.0
2278,1559,41,0.008
2279,1559,772,0.5
2280,1560,41,0.008
2281,1561,671,0.3333333333333333
2282,1562,1299,1.0
2283,1563,1300,1.0
2284,1563,1393,1.0
2285,1564,1301,1.0
2286,1565,1303,0.5
2287,1566,89,0.5
2288,1567,16,0.043478260869565216
2289,1568,1306,1.0
2290,1569,1308,1.0
2291,1570,604,0.5
2292,1571,1201,0.3333333333333333
2293,1572,1309,1.0
2294,1573,48,0.16666666666666666
